model,model_cn,fpr,tpr,threshold
logistic_regression,逻辑回归,0.0,0.0,1.9999999997770452
logistic_regression,逻辑回归,0.0,0.023809523809523808,0.9999999997770452
logistic_regression,逻辑回归,0.0,0.8333333333333334,0.6541957713475198
logistic_regression,逻辑回归,0.013888888888888888,0.8333333333333334,0.6490156449893544
logistic_regression,逻辑回归,0.013888888888888888,0.9047619047619048,0.46731196559927296
logistic_regression,逻辑回归,0.041666666666666664,0.9047619047619048,0.43002295263880025
logistic_regression,逻辑回归,0.041666666666666664,0.9523809523809523,0.39265270152994663
logistic_regression,逻辑回归,0.05555555555555555,0.9523809523809523,0.2560448768406332
logistic_regression,逻辑回归,0.05555555555555555,0.9761904761904762,0.20529449086214996
logistic_regression,逻辑回归,0.08333333333333333,0.9761904761904762,0.14225914427852432
logistic_regression,逻辑回归,0.08333333333333333,1.0,0.07958255813651442
logistic_regression,逻辑回归,1.0,1.0,6.254791918690461e-06
decision_tree,决策树,0.0,0.0,2.0
decision_tree,决策树,0.0,0.6428571428571429,1.0
decision_tree,决策树,0.041666666666666664,0.7619047619047619,0.8
decision_tree,决策树,0.05555555555555555,0.9523809523809523,0.5
decision_tree,决策树,0.08333333333333333,0.9761904761904762,0.3
decision_tree,决策树,0.1111111111111111,0.9761904761904762,0.2
decision_tree,决策树,0.19444444444444445,0.9761904761904762,0.13333333333333333
decision_tree,决策树,0.2222222222222222,0.9761904761904762,0.1
decision_tree,决策树,1.0,1.0,0.0
random_forest,随机森林,0.0,0.0,2.0
random_forest,随机森林,0.0,0.07142857142857142,1.0
random_forest,随机森林,0.0,0.11904761904761904,0.9991868131868132
random_forest,随机森林,0.0,0.8571428571428571,0.6171410315699323
random_forest,随机森林,0.013888888888888888,0.8571428571428571,0.5319675204747037
random_forest,随机森林,0.013888888888888888,0.9523809523809523,0.41134032615558247
random_forest,随机森林,0.027777777777777776,0.9523809523809523,0.330702755379019
random_forest,随机森林,0.027777777777777776,0.9761904761904762,0.3157798348685937
random_forest,随机森林,0.18055555555555555,0.9761904761904762,0.14459501747341258
random_forest,随机森林,0.18055555555555555,1.0,0.14192330033054246
random_forest,随机森林,0.8055555555555556,1.0,0.0012043956043956043
random_forest,随机森林,0.8333333333333334,1.0,0.001178021978021978
random_forest,随机森林,0.8472222222222222,1.0,0.000912
random_forest,随机森林,1.0,1.0,0.0
gradient_boosting,梯度提升,0.0,0.0,1.993898121464966
gradient_boosting,梯度提升,0.0,0.023809523809523808,0.993898121464966
gradient_boosting,梯度提升,0.0,0.07142857142857142,0.9909606308006602
gradient_boosting,梯度提升,0.0,0.3333333333333333,0.990316800957675
gradient_boosting,梯度提升,0.0,0.38095238095238093,0.990129687156671
gradient_boosting,梯度提升,0.0,0.42857142857142855,0.989226248036927
gradient_boosting,梯度提升,0.0,0.8809523809523809,0.6181609134719191
gradient_boosting,梯度提升,0.013888888888888888,0.8809523809523809,0.5898674259926704
gradient_boosting,梯度提升,0.013888888888888888,0.9523809523809523,0.379272128408032
gradient_boosting,梯度提升,0.027777777777777776,0.9523809523809523,0.22944209943842528
gradient_boosting,梯度提升,0.027777777777777776,0.9761904761904762,0.21963217083524247
gradient_boosting,梯度提升,0.20833333333333334,0.9761904761904762,0.043584733679035044
gradient_boosting,梯度提升,0.2361111111111111,0.9761904761904762,0.03924927300623454
gradient_boosting,梯度提升,0.2638888888888889,0.9761904761904762,0.03198703207840498
gradient_boosting,梯度提升,0.2638888888888889,1.0,0.02638569157362053
gradient_boosting,梯度提升,0.3472222222222222,1.0,0.015289871554566356
gradient_boosting,梯度提升,0.375,1.0,0.013509539220776311
gradient_boosting,梯度提升,0.4444444444444444,1.0,0.012100035811453571
gradient_boosting,梯度提升,0.4722222222222222,1.0,0.011330334937278943
gradient_boosting,梯度提升,0.5,1.0,0.011243519361180438
gradient_boosting,梯度提升,0.5694444444444444,1.0,0.008044867974030073
gradient_boosting,梯度提升,0.6111111111111112,1.0,0.008043215129787383
gradient_boosting,梯度提升,0.6388888888888888,1.0,0.005816404186496734
gradient_boosting,梯度提升,0.7222222222222222,1.0,0.005368970466825813
gradient_boosting,梯度提升,0.75,1.0,0.00519869543589906
gradient_boosting,梯度提升,0.7916666666666666,1.0,0.004845373356842808
gradient_boosting,梯度提升,0.8055555555555556,1.0,0.004792087178087233
gradient_boosting,梯度提升,1.0,1.0,0.00459882885131624
